City,PM25,NO2,PM10,AQI_PM25,AQI_NO2,AQI_PM10,AQI_MAX,datetimeUtc
Gera Friedericistr.,4.1,14,7,18,14,7,18,2024-02-10T07:00:00+00:00
Gera Friedericistr.,5.1,9.7,9.3,22,10,9,22,2024-02-10T08:00:00+00:00
Gera Friedericistr.,5.8,10,9.4,25,10,9,25,2024-02-10T09:00:00+00:00
Gera Friedericistr.,5.4,6.8,11,23,7,11,23,2024-02-10T10:00:00+00:00
Gera Friedericistr.,4.6,7.8,9.5,20,8,9,20,2024-02-10T11:00:00+00:00
Gera Friedericistr.,4.2,12,9.1,18,12,9,18,2024-02-10T12:00:00+00:00
Gera Friedericistr.,3.8,15,8.3,16,15,8,16,2024-02-10T13:00:00+00:00
Gera Friedericistr.,4,17,9.3,17,17,9,17,2024-02-10T14:00:00+00:00
Gera Friedericistr.,4.8,24,8.4,20,23,8,23,2024-02-10T15:00:00+00:00
Gera Friedericistr.,7.3,20,12,31,19,12,31,2024-02-10T16:00:00+00:00
Gera Friedericistr.,11,31,15,46,30,14,46,2024-02-10T17:00:00+00:00
Gera Friedericistr.,13,24,18,54,23,17,54,2024-02-10T18:00:00+00:00
Gera Friedericistr.,16,22,21,60,21,20,60,2024-02-10T19:00:00+00:00
Gera Friedericistr.,17,23,23,62,22,22,62,2024-02-10T20:00:00+00:00
Gera Friedericistr.,18,24,25,64,23,24,64,2024-02-10T21:00:00+00:00
Gera Friedericistr.,16,21,23,60,20,22,60,2024-02-10T22:00:00+00:00
Gera Friedericistr.,16,17,23,60,17,22,60,2024-02-10T23:00:00+00:00
Gera Friedericistr.,19,14,25,66,14,24,66,2024-02-11T00:00:00+00:00
Gera Friedericistr.,19,12,24,66,12,23,66,2024-02-11T01:00:00+00:00
Gera Friedericistr.,19,13,25,66,13,24,66,2024-02-11T02:00:00+00:00
Gera Friedericistr.,20,13,29,69,13,27,69,2024-02-11T03:00:00+00:00
Gera Friedericistr.,18,12,26,64,12,25,64,2024-02-11T04:00:00+00:00
Gera Friedericistr.,18,10,26,64,10,25,64,2024-02-11T05:00:00+00:00
Gera Friedericistr.,19,12,29,66,12,27,66,2024-02-11T06:00:00+00:00
Gera Friedericistr.,18,13,25,64,13,24,64,2024-02-11T07:00:00+00:00
Gera Friedericistr.,18,13,25,64,13,24,64,2024-02-11T08:00:00+00:00
Gera Friedericistr.,18,13,23,64,13,22,64,2024-02-11T09:00:00+00:00
